lambda_um,n,k,material,source
0.8800,1.509325,0.000000,N-BK7,Schott 2015 catalog
0.8900,1.509159,0.000000,N-BK7,Schott 2015 catalog
0.9000,1.508997,0.000000,N-BK7,Schott 2015 catalog
0.9100,1.508837,0.000000,N-BK7,Schott 2015 catalog
0.9200,1.508680,0.000000,N-BK7,Schott 2015 catalog
0.9300,1.508526,0.000000,N-BK7,Schott 2015 catalog
0.9400,1.508373,0.000000,N-BK7,Schott 2015 catalog
0.9500,1.508223,0.000000,N-BK7,Schott 2015 catalog
0.9600,1.508075,0.000000,N-BK7,Schott 2015 catalog
0.9700,1.507929,0.000000,N-BK7,Schott 2015 catalog
0.9800,1.507785,0.000000,N-BK7,Schott 2015 catalog
0.9900,1.507643,0.000000,N-BK7,Schott 2015 catalog
1.0000,1.507502,0.000000,N-BK7,Schott 2015 catalog
1.0100,1.507363,0.000000,N-BK7,Schott 2015 catalog
1.0200,1.507225,0.000000,N-BK7,Schott 2015 catalog
1.0300,1.507089,0.000000,N-BK7,Schott 2015 catalog
1.0400,1.506954,0.000000,N-BK7,Schott 2015 catalog
1.0500,1.506820,0.000000,N-BK7,Schott 2015 catalog
1.0600,1.506688,0.000000,N-BK7,Schott 2015 catalog
1.0700,1.506556,0.000000,N-BK7,Schott 2015 catalog
1.0800,1.506425,0.000000,N-BK7,Schott 2015 catalog
1.0900,1.506296,0.000000,N-BK7,Schott 2015 catalog
1.1000,1.506167,0.000000,N-BK7,Schott 2015 catalog
1.1100,1.506039,0.000000,N-BK7,Schott 2015 catalog
1.1200,1.505912,0.000000,N-BK7,Schott 2015 catalog
1.1300,1.505786,0.000000,N-BK7,Schott 2015 catalog
1.1400,1.505660,0.000000,N-BK7,Schott 2015 catalog
1.1500,1.505535,0.000000,N-BK7,Schott 2015 catalog
1.1600,1.505410,0.000000,N-BK7,Schott 2015 catalog
1.1700,1.505286,0.000000,N-BK7,Schott 2015 catalog
1.1800,1.505162,0.000000,N-BK7,Schott 2015 catalog
1.1900,1.505039,0.000000,N-BK7,Schott 2015 catalog
1.2000,1.504917,0.000000,N-BK7,Schott 2015 catalog
1.2100,1.504794,0.000000,N-BK7,Schott 2015 catalog
1.2200,1.504672,0.000000,N-BK7,Schott 2015 catalog
1.2300,1.504550,0.000000,N-BK7,Schott 2015 catalog
1.2400,1.504429,0.000000,N-BK7,Schott 2015 catalog
1.2500,1.504308,0.000000,N-BK7,Schott 2015 catalog
1.2600,1.504186,0.000000,N-BK7,Schott 2015 catalog
1.2700,1.504066,0.000000,N-BK7,Schott 2015 catalog
1.2800,1.503945,0.000000,N-BK7,Schott 2015 catalog
1.2900,1.503824,0.000000,N-BK7,Schott 2015 catalog
1.3000,1.503703,0.000000,N-BK7,Schott 2015 catalog
1.3100,1.503583,0.000000,N-BK7,Schott 2015 catalog
1.3200,1.503462,0.000000,N-BK7,Schott 2015 catalog
1.3300,1.503342,0.000000,N-BK7,Schott 2015 catalog
1.3400,1.503221,0.000000,N-BK7,Schott 2015 catalog
1.3500,1.503101,0.000000,N-BK7,Schott 2015 catalog
1.3600,1.502980,0.000000,N-BK7,Schott 2015 catalog
1.3700,1.502859,0.000000,N-BK7,Schott 2015 catalog
1.3800,1.502739,0.000000,N-BK7,Schott 2015 catalog
1.3900,1.502618,0.000000,N-BK7,Schott 2015 catalog
1.4000,1.502496,0.000000,N-BK7,Schott 2015 catalog
1.4100,1.502375,0.000000,N-BK7,Schott 2015 catalog
1.4200,1.502254,0.000000,N-BK7,Schott 2015 catalog
1.4300,1.502132,0.000000,N-BK7,Schott 2015 catalog
1.4400,1.502010,0.000000,N-BK7,Schott 2015 catalog
1.4500,1.501888,0.000000,N-BK7,Schott 2015 catalog
1.4600,1.501766,0.000000,N-BK7,Schott 2015 catalog
1.4700,1.501643,0.000000,N-BK7,Schott 2015 catalog
1.4800,1.501521,0.000000,N-BK7,Schott 2015 catalog
1.4900,1.501397,0.000000,N-BK7,Schott 2015 catalog
1.5000,1.501274,0.000000,N-BK7,Schott 2015 catalog
1.5100,1.501150,0.000000,N-BK7,Schott 2015 catalog
1.5200,1.501026,0.000000,N-BK7,Schott 2015 catalog
1.5300,1.500902,0.000000,N-BK7,Schott 2015 catalog
1.5400,1.500777,0.000000,N-BK7,Schott 2015 catalog
1.5500,1.500652,0.000000,N-BK7,Schott 2015 catalog
1.5600,1.500527,0.000000,N-BK7,Schott 2015 catalog
1.5700,1.500401,0.000000,N-BK7,Schott 2015 catalog
1.5800,1.500274,0.000000,N-BK7,Schott 2015 catalog
1.5900,1.500148,0.000000,N-BK7,Schott 2015 catalog
1.6000,1.500021,0.000000,N-BK7,Schott 2015 catalog
1.6100,1.499893,0.000000,N-BK7,Schott 2015 catalog
1.6200,1.499765,0.000000,N-BK7,Schott 2015 catalog
1.6300,1.499637,0.000000,N-BK7,Schott 2015 catalog
1.6400,1.499508,0.000000,N-BK7,Schott 2015 catalog
1.6500,1.499379,0.000000,N-BK7,Schott 2015 catalog
1.6600,1.499249,0.000000,N-BK7,Schott 2015 catalog
1.6700,1.499119,0.000000,N-BK7,Schott 2015 catalog
1.6800,1.498988,0.000000,N-BK7,Schott 2015 catalog
1.6900,1.498857,0.000000,N-BK7,Schott 2015 catalog
1.7000,1.498725,0.000000,N-BK7,Schott 2015 catalog
1.7100,1.498593,0.000000,N-BK7,Schott 2015 catalog
1.7200,1.498460,0.000000,N-BK7,Schott 2015 catalog
1.7300,1.498326,0.000000,N-BK7,Schott 2015 catalog
1.7400,1.498193,0.000000,N-BK7,Schott 2015 catalog
1.7500,1.498058,0.000000,N-BK7,Schott 2015 catalog
1.7600,1.497923,0.000000,N-BK7,Schott 2015 catalog
1.7700,1.497788,0.000000,N-BK7,Schott 2015 catalog
1.7800,1.497652,0.000000,N-BK7,Schott 2015 catalog
1.7900,1.497515,0.000000,N-BK7,Schott 2015 catalog
1.8000,1.497378,0.000000,N-BK7,Schott 2015 catalog
1.8100,1.497240,0.000000,N-BK7,Schott 2015 catalog
1.8200,1.497101,0.000000,N-BK7,Schott 2015 catalog
1.8300,1.496962,0.000000,N-BK7,Schott 2015 catalog
1.8400,1.496823,0.000000,N-BK7,Schott 2015 catalog
1.8500,1.496683,0.000000,N-BK7,Schott 2015 catalog
1.8600,1.496542,0.000000,N-BK7,Schott 2015 catalog
1.8700,1.496400,0.000000,N-BK7,Schott 2015 catalog
1.8800,1.496258,0.000000,N-BK7,Schott 2015 catalog
1.8900,1.496115,0.000000,N-BK7,Schott 2015 catalog
1.9000,1.495972,0.000000,N-BK7,Schott 2015 catalog
1.9100,1.495828,0.000000,N-BK7,Schott 2015 catalog
1.9200,1.495683,0.000000,N-BK7,Schott 2015 catalog
1.9300,1.495538,0.000000,N-BK7,Schott 2015 catalog
1.9400,1.495392,0.000000,N-BK7,Schott 2015 catalog
1.9500,1.495245,0.000000,N-BK7,Schott 2015 catalog
1.9600,1.495098,0.000000,N-BK7,Schott 2015 catalog
1.9700,1.494950,0.000000,N-BK7,Schott 2015 catalog
1.9800,1.494801,0.000000,N-BK7,Schott 2015 catalog
1.9900,1.494652,0.000000,N-BK7,Schott 2015 catalog
2.0000,1.494502,0.000000,N-BK7,Schott 2015 catalog
2.0100,1.494351,0.000000,N-BK7,Schott 2015 catalog
2.0200,1.494199,0.000000,N-BK7,Schott 2015 catalog
2.0300,1.494047,0.000000,N-BK7,Schott 2015 catalog
2.0400,1.493894,0.000000,N-BK7,Schott 2015 catalog
2.0500,1.493741,0.000000,N-BK7,Schott 2015 catalog
2.0600,1.493586,0.000000,N-BK7,Schott 2015 catalog
2.0700,1.493431,0.000000,N-BK7,Schott 2015 catalog
2.0800,1.493275,0.000000,N-BK7,Schott 2015 catalog
2.0900,1.493119,0.000000,N-BK7,Schott 2015 catalog
2.1000,1.492962,0.000000,N-BK7,Schott 2015 catalog
2.1100,1.492804,0.000000,N-BK7,Schott 2015 catalog
2.1200,1.492645,0.000000,N-BK7,Schott 2015 catalog
2.1300,1.492485,0.000000,N-BK7,Schott 2015 catalog
2.1400,1.492325,0.000000,N-BK7,Schott 2015 catalog
2.1500,1.492164,0.000000,N-BK7,Schott 2015 catalog
2.1600,1.492002,0.000000,N-BK7,Schott 2015 catalog
2.1700,1.491840,0.000000,N-BK7,Schott 2015 catalog
2.1800,1.491676,0.000000,N-BK7,Schott 2015 catalog
2.1900,1.491512,0.000000,N-BK7,Schott 2015 catalog
2.2000,1.491347,0.000000,N-BK7,Schott 2015 catalog
2.2100,1.491182,0.000000,N-BK7,Schott 2015 catalog
2.2200,1.491015,0.000000,N-BK7,Schott 2015 catalog
2.2300,1.490848,0.000000,N-BK7,Schott 2015 catalog
2.2400,1.490680,0.000000,N-BK7,Schott 2015 catalog
2.2500,1.490511,0.000000,N-BK7,Schott 2015 catalog
2.2600,1.490341,0.000000,N-BK7,Schott 2015 catalog
2.2700,1.490171,0.000000,N-BK7,Schott 2015 catalog
2.2800,1.490000,0.000000,N-BK7,Schott 2015 catalog
2.2900,1.489828,0.000000,N-BK7,Schott 2015 catalog
2.3000,1.489655,0.000000,N-BK7,Schott 2015 catalog
2.3100,1.489481,0.000000,N-BK7,Schott 2015 catalog
2.3200,1.489306,0.000000,N-BK7,Schott 2015 catalog
2.3300,1.489131,0.000000,N-BK7,Schott 2015 catalog
2.3400,1.488955,0.000000,N-BK7,Schott 2015 catalog
2.3500,1.488778,0.000000,N-BK7,Schott 2015 catalog
2.3600,1.488600,0.000000,N-BK7,Schott 2015 catalog
2.3700,1.488421,0.000000,N-BK7,Schott 2015 catalog
2.3800,1.488241,0.000000,N-BK7,Schott 2015 catalog
2.3900,1.488061,0.000000,N-BK7,Schott 2015 catalog
2.4000,1.487879,0.000000,N-BK7,Schott 2015 catalog
2.4100,1.487697,0.000000,N-BK7,Schott 2015 catalog
2.4200,1.487514,0.000000,N-BK7,Schott 2015 catalog
2.4300,1.487330,0.000000,N-BK7,Schott 2015 catalog
2.4400,1.487145,0.000000,N-BK7,Schott 2015 catalog
2.4500,1.486960,0.000000,N-BK7,Schott 2015 catalog
2.4600,1.486773,0.000000,N-BK7,Schott 2015 catalog
2.4700,1.486586,0.000000,N-BK7,Schott 2015 catalog
2.4800,1.486397,0.000000,N-BK7,Schott 2015 catalog
2.4900,1.486208,0.000000,N-BK7,Schott 2015 catalog
2.5000,1.486018,0.000000,N-BK7,Schott 2015 catalog
